,title,artist,total_words,total_bad_words,perc_bad_words
53,Rolling in the Deep,Adele,550,1,0.18181818181818182
54,Run the World (Girls),BeyoncÃ©,557,1,0.17953321364452424
55,Love On Top,BeyoncÃ©,562,0,0.0
56,Grenade,Bruno Mars,446,0,0.0
57,Tonight Tonight,Hot Chelle Rae,467,0,0.0
58,What the Hell,Avril Lavigne,390,0,0.0
59,Born This Way,Lady Gaga,581,1,0.17211703958691912
60,Monster,Kanye West,1006,78,7.75347912524851
61,Marry You,Bruno Mars,342,0,0.0
62,Best Thing I Never Had,BeyoncÃ©,481,2,0.4158004158004158
63,Party Rock Anthem,LMFAO,491,0,0.0
64,We R Who We R,Kesha,359,3,0.8356545961002786
65,Price Tag,Jessie J,523,1,0.19120458891013384
66,Good Life,OneRepublic,415,2,0.48192771084337355
67,Just CanÂt Get Enough,The Black Eyed Peas,599,3,0.5008347245409015
68,On The Floor,Jennifer Lopez,610,3,0.49180327868852464
69,What's My Name?,Rihanna,620,0,0.0
70,Yeah 3x,Chris Brown,402,3,0.7462686567164178
71,Without You (feat. Usher),David Guetta,79,0,0.0
72,Sexy And I Know It,LMFAO,379,8,2.1108179419525066
73,The Edge Of Glory,Lady Gaga,416,0,0.0
74,E.T.,Katy Perry,268,0,0.0
75,Till the World Ends,Britney Spears,268,0,0.0
76,I Wanna Go,Britney Spears,252,0,0.0
77,Blow,Kesha,289,0,0.0
78,You And I,Lady Gaga,418,0,0.0
79,Judas,Lady Gaga,387,0,0.0
80,Tonight (I'm Fuckin' You),Enrique Iglesias,388,29,7.474226804123711
81,Please Don't Go,Mike Posner,314,0,0.0
82,We Found Love,Rihanna,269,0,0.0
83,Marry The Night,Lady Gaga,369,1,0.27100271002710025
84,1+1,BeyoncÃ©,257,0,0.0
85,Hold It Against Me,Britney Spears,320,0,0.0
86,I'm Into You,Jennifer Lopez,573,1,0.17452006980802792
87,Papi,Jennifer Lopez,486,0,0.0
88,Cheers (Drink To That),Rihanna,531,4,0.7532956685499058
89,S&M Remix,Rihanna,523,5,0.9560229445506693
90,Written in the Stars (feat. Eric Turner),Tinie Tempah,457,1,0.2188183807439825
91,Jar of Hearts,Christina Perri,309,0,0.0
92,Castle Walls (feat. Christina Aguilera),T.I.,322,3,0.9316770186335404
93,Turning Page,Sleeping At Last,178,0,0.0
94,Super Bass,Nicki Minaj,663,48,7.239819004524888
95,Raise Your Glass,P!nk,397,20,5.037783375314862
96,Invading My Mind,Jennifer Lopez,299,0,0.0
97,Last Friday Night (T.G.I.F.),Katy Perry,427,1,0.234192037470726
98,Firework,Katy Perry,367,0,0.0
99,Titanium (feat. Sia),David Guetta,204,1,0.49019607843137253
100,Locked Out of Heaven,Bruno Mars,324,4,1.2345679012345678
101,Paradise,Coldplay,250,0,0.0
102,Payphone,Maroon 5,565,12,2.1238938053097343
103,What Makes You Beautiful,One Direction,410,0,0.0
104,I Knew You Were Trouble.,Taylor Swift,403,0,0.0
105,Call Me Maybe,Carly Rae Jepsen,407,0,0.0
106,Love You Like A Love Song,Selena Gomez & The Scene,379,0,0.0
107,Set Fire to the Rain,Adele,344,0,0.0
108,We Are Never Ever Getting Back Together,Taylor Swift,371,0,0.0
109,Stronger (What Doesn't Kill You),Kelly Clarkson,395,0,0.0
110,Try,P!nk,288,0,0.0
111,Starships,Nicki Minaj,383,14,3.6553524804177546
112,One More Night,Maroon 5,495,0,0.0
113,Good Time,Owl City,327,0,0.0
114,Glad You Came,The Wanted,325,0,0.0
115,Beauty And A Beat,Justin Bieber,323,2,0.6191950464396285
116,International Love,Pitbull,574,0,0.0
117,Some Nights,fun.,475,1,0.21052631578947367
118,Boyfriend,Justin Bieber,409,0,0.0
119,Part Of Me,Katy Perry,415,0,0.0
120,Domino,Jessie J,389,2,0.5141388174807198
121,Where Have You Been,Rihanna,294,0,0.0
122,Wide Awake,Katy Perry,324,0,0.0
123,The One That Got Away,Katy Perry,327,0,0.0
124,Dance Again,Jennifer Lopez,471,0,0.0
125,Turn Up the Music,Chris Brown,588,4,0.6802721088435374
126,Lights - Single Version,Ellie Goulding,276,0,0.0
127,We Are Young (feat. Janelle MonÃ¡e),fun.,321,1,0.3115264797507788
128,Diamonds,Rihanna,373,0,0.0
129,Don't Stop the Party (feat. TJR),Pitbull,501,2,0.39920159680638717
130,You Da One,Rihanna,503,2,0.3976143141153081
131,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,860,3,0.3488372093023256
132,It Will Rain,Bruno Mars,315,0,0.0
133,Blow Me (One Last Kiss),P!nk,582,15,2.5773195876288657
134,Underneath the Tree,Kelly Clarkson,309,0,0.0
135,Wake Me Up,Avicii,251,1,0.398406374501992
136,Story of My Life,One Direction,365,0,0.0
137,Just Give Me a Reason (feat. Nate Ruess),P!nk,409,0,0.0
138,Hall of Fame,The Script,461,0,0.0
139,Roar,Katy Perry,354,0,0.0
140,We Can't Stop,Miley Cyrus,570,0,0.0
141,Don't You Worry Child - Radio Edit,Swedish House Mafia,272,0,0.0
142,Wrecking Ball,Miley Cyrus,339,0,0.0
143,Impossible,James Arthur,295,1,0.3389830508474576
144,Blurred Lines,Robin Thicke,746,7,0.938337801608579
145,Heart Attack,Demi Lovato,412,0,0.0
146,We Are Never Ever Getting Back Together,Taylor Swift,371,0,0.0
147,Die Young,Kesha,377,0,0.0
148,Clarity,Zedd,278,1,0.3597122302158274
149,Under Control,Calvin Harris,170,0,0.0
150,Everybody Talks,Neon Trees,282,1,0.3546099290780142
151,"Hold On, We're Going Home",Drake,318,0,0.0
152,Best Song Ever,One Direction,450,0,0.0
153,Kiss You,One Direction,366,0,0.0
154,Sweet Nothing (feat. Florence Welch),Calvin Harris,227,0,0.0
155,Lose Yourself to Dance,Daft Punk,1081,0,0.0
156,Work Bitch,Britney Spears,410,20,4.878048780487805
157,Brave,Sara Bareilles,381,0,0.0
158,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,714,0,0.0
159,Feel This Moment (feat. Christina Aguilera),Pitbull,407,0,0.0
160,Beneath Your Beautiful,Labrinth,290,0,0.0
161,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,414,0,0.0
162,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,714,0,0.0
163,If I Lose Myself - Alesso vs OneRepublic,OneRepublic,142,0,0.0
164,The Way,Ariana Grande,694,0,0.0
165,Suit & Tie,Justin Timberlake,725,13,1.7931034482758619
166,#thatPOWER,will.i.am,386,0,0.0
167,I Love It (feat. Charli XCX),Icona Pop,605,1,0.1652892561983471
168,Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,459,0,0.0
169,Daylight,Maroon 5,323,0,0.0
170,Love Somebody,Maroon 5,344,0,0.0
171,A Little Party Never Killed Nobody (All We Got),Fergie,443,0,0.0
172,Move,Little Mix,603,0,0.0
173,Walks Like Rihanna,The Wanted,283,0,0.0
174,Rock N Roll,Avril Lavigne,456,3,0.6578947368421052
175,Heartbreaker,Justin Bieber,481,0,0.0
176,Mirrors - Radio Edit,Justin Timberlake,587,1,0.17035775127768313
177,Next To Me,Emeli SandÃ©,297,0,0.0
178,Made In The USA,Demi Lovato,368,0,0.0
179,Clown,Emeli SandÃ©,262,3,1.1450381679389312
180,Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,398,0,0.0
181,TKO,Justin Timberlake,823,3,0.3645200486026731
182,Come & Get It,Selena Gomez,345,0,0.0
183,Live It Up,Jennifer Lopez,516,6,1.1627906976744187
184,We Own The Night,The Wanted,311,0,0.0
185,What About Love,Austin Mahone,326,0,0.0
186,Take Back the Night,Justin Timberlake,636,3,0.4716981132075472
187,Applause,Lady Gaga,413,0,0.0
